"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C1333064","umls:C1333064","Classical Hodgkin's Lymphoma","6/41","126/17381",4.70335993340582e-07,2.59272716328996e-05,1.04433156416083e-05,"4792/7128/3569/29126/467/5966",6
"umls:C0035369","umls:C0035369","Retroviridae Infections","5/41","71/17381",6.58943373370461e-07,3.52235185038028e-05,1.41877759816606e-05,"3456/3627/25939/3569/1956",5
"umls:C0235989","umls:C0235989","Renal interstitial fibrosis","4/41","30/17381",6.98437875410909e-07,3.59760936845185e-05,1.44909077676632e-05,"3552/1958/3569/3576",4
"umls:C0374997","umls:C0374997","Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site","8/41","322/17381",7.13811382629336e-07,3.59760936845185e-05,1.44909077676632e-05,"3552/3620/1958/3569/3725/6364/1956/3576",8
"umls:C0004943","umls:C0004943","Behcet Syndrome","8/41","325/17381",7.65482430161889e-07,3.75086390779326e-05,1.51082058584583e-05,"3552/4792/3627/7128/3569/29126/3576/10673",8
"umls:C0024198","umls:C0024198","Lyme Disease","6/41","139/17381",8.38445099056125e-07,3.99734366144596e-05,1.61010083033538e-05,"3456/6373/282618/3569/3725/3576",6
"umls:C1800706","umls:C1800706","Idiopathic Pulmonary Fibrosis","8/41","338/17381",1.02809027498246e-06,4.77250327649754e-05,1.92232946153231e-05,"5806/6373/3552/3627/1958/3569/1956/3576",8
"umls:C0027697","umls:C0027697","Nephritis","6/41","145/17381",1.0741714625133e-06,4.85856015352169e-05,1.95699254304042e-05,"3552/3627/7128/3569/3576/10673",6
"umls:C0026936","umls:C0026936","Mycoplasma Infections","5/41","79/17381",1.12497494865102e-06,4.961139523551e-05,1.99831076405115e-05,"3552/3569/1956/3576/10673",5
"umls:C0011615","umls:C0011615","Dermatitis, Atopic","9/41","477/17381",1.31348125964838e-06,5.65117302931642e-05,2.27625122018653e-05,"3552/4792/3627/3569/3725/6364/1956/3576/5966",9
"umls:C0206139","umls:C0206139","Lichen Planus, Oral","5/41","83/17381",1.43928895175016e-06,5.90443188578438e-05,2.37826203777566e-05,"3552/3627/3569/1956/3576",5
"umls:C0221056","umls:C0221056","Adult type dermatomyositis","5/41","83/17381",1.43928895175016e-06,5.90443188578438e-05,2.37826203777566e-05,"3456/3552/23586/3569/11274",5
"umls:C0409974","umls:C0409974","Lupus Erythematosus","8/41","356/17381",1.516355888385e-06,6.07920860707077e-05,2.44866082454515e-05,"3552/4792/1959/3569/29126/1956/3576/10673",8
"umls:C0004623","umls:C0004623","Bacterial Infections","7/41","247/17381",1.60080606390239e-06,6.27515977049735e-05,2.52758852195114e-05,"5806/3456/3552/4792/3569/1956/3576",7
"umls:C0032914","umls:C0032914","Pre-Eclampsia","8/41","364/17381",1.78995256016736e-06,6.86407894812006e-05,2.76480086524707e-05,"5806/3552/3620/3627/3569/3624/3576/10673",8
"umls:C0043515","umls:C0043515","Zollinger-Ellison syndrome","3/41","11/17381",1.98400023028833e-06,7.44633277920981e-05,2.99932845564305e-05,"3569/1956/3576",3
"umls:C0276447","umls:C0276447","Rhinovirus infection","4/41","40/17381",2.28980201995237e-06,8.07842152639196e-05,3.2539291862481e-05,"3627/282616/282618/1956",4
"umls:C0282488","umls:C0282488","Interstitial Cystitis","4/41","40/17381",2.28980201995237e-06,8.07842152639196e-05,3.2539291862481e-05,"6373/3627/3569/3576",4
"umls:C0314719","umls:C0314719","Dryness of eye","4/41","40/17381",2.28980201995237e-06,8.07842152639196e-05,3.2539291862481e-05,"3552/3569/1956/3576",4
"umls:C1175175","umls:C1175175","Severe Acute Respiratory Syndrome","5/41","92/17381",2.40018540000077e-06,8.30181773647323e-05,3.34391154798868e-05,"3456/3552/3627/3569/3576",5
"umls:C0014170","umls:C0014170","Endometrial Neoplasms","7/41","265/17381",2.55423020618889e-06,8.34380334031335e-05,3.36082304255371e-05,"3552/3627/3569/3725/3624/1956/3576",7
"umls:C0036690","umls:C0036690","Septicemia","8/41","383/17381",2.6134044172052e-06,8.34380334031335e-05,3.36082304255371e-05,"5806/3552/4792/3569/3725/3576/467/1843",8
"umls:C0151857","umls:C0151857","Pleocytosis","3/41","12/17381",2.64099749232889e-06,8.34380334031335e-05,3.36082304255371e-05,"3627/3569/3576",3
"umls:C0019158","umls:C0019158","Hepatitis","7/41","267/17381",2.68461841427403e-06,8.34380334031335e-05,3.36082304255371e-05,"3552/3627/282618/3569/3725/6364/3576",7
"umls:C0524909","umls:C0524909","Hepatitis B, Chronic","7/41","267/17381",2.68461841427403e-06,8.34380334031335e-05,3.36082304255371e-05,"3456/3627/8638/3569/4939/29126/3576",7
"umls:C0333516","umls:C0333516","Tumor necrosis","6/41","170/17381",2.71347124833948e-06,8.34380334031335e-05,3.36082304255371e-05,"3456/6373/3552/3569/1956/3576",6
"umls:C0014057","umls:C0014057","Japanese Encephalitis","4/41","42/17381",2.79489974393195e-06,8.34380334031335e-05,3.36082304255371e-05,"91543/23586/3569/29126",4
"umls:C0001339","umls:C0001339","Acute pancreatitis","5/41","95/17381",2.8132792950333e-06,8.34380334031335e-05,3.36082304255371e-05,"3552/4792/7128/3569/3576",5
"umls:C0031099","umls:C0031099","Periodontitis","7/41","270/17381",2.89061233713618e-06,8.34380334031335e-05,3.36082304255371e-05,"3456/3552/282618/3569/6364/3576/10673",7
"umls:C0007138","umls:C0007138","Carcinoma, Transitional Cell","8/41","389/17381",2.93262929194687e-06,8.34380334031335e-05,3.36082304255371e-05,"6373/282616/3569/3624/6364/1956/3576/1843",8
"umls:C0014072","umls:C0014072","Experimental Autoimmune Encephalomyelitis","8/41","389/17381",2.93262929194687e-06,8.34380334031335e-05,3.36082304255371e-05,"3456/3552/3627/1958/3569/29126/1843/10673",8
"umls:C0042373","umls:C0042373","Vascular Diseases","8/41","394/17381",3.22345213183425e-06,9.02566596913591e-05,3.63547232913638e-05,"5806/3310/3552/4792/1958/3569/3725/3576",8
"umls:C0013537","umls:C0013537","Eclampsia","6/41","179/17381",3.65720092946518e-06,0.000100801600618384,4.06021484767928e-05,"3552/3620/3569/3725/3624/3576",6
"umls:C0032285","umls:C0032285","Pneumonia","8/41","403/17381",3.80898458558404e-06,0.000103369981676465,4.16366736075988e-05,"3552/4792/3569/3725/29126/6364/3576/467",8
"umls:C0013238","umls:C0013238","Dry Eye Syndromes","4/41","46/17381",4.04707387094921e-06,0.000108167247096279,4.35689770795967e-05,"3552/3569/1956/3576",4
"umls:C0032227","umls:C0032227","Pleural effusion disorder","5/41","103/17381",4.19218246638684e-06,0.000110373281652334,4.44575516859563e-05,"3456/3552/3569/1956/3576",5
"umls:C0555198","umls:C0555198","Malignant Glioma","8/41","412/17381",4.48261701177639e-06,0.000116284358952552,4.6838490448128e-05,"3456/3552/3627/1958/3569/29126/1956/3576",8
"umls:C0007786","umls:C0007786","Brain Ischemia","8/41","415/17381",4.72853777815926e-06,0.000120886096241637,4.86920366172006e-05,"3552/4792/3627/1958/3569/3725/6364/3576",8
"umls:C0149521","umls:C0149521","Pancreatitis, Chronic","7/41","292/17381",4.84432687211912e-06,0.000122077037177402,4.91717389275249e-05,"3552/3627/3569/6364/1956/3576/1843",7
"umls:C0400914","umls:C0400914","Acute hepatitis C","3/41","15/17381",5.43525070129473e-06,0.000135039186437801,5.43927979744098e-05,"3627/282618/11274",3
"umls:C0003872","umls:C0003872","Arthritis, Psoriatic","6/41","193/17381",5.64334224809989e-06,0.000137079342837437,5.52145580709332e-05,"3552/4792/7128/3569/3576/5966",6
"umls:C0263641","umls:C0263641","Epithelial hyperplasia of skin","4/41","50/17381",5.67278459588032e-06,0.000137079342837437,5.52145580709332e-05,"3552/3569/6364/1956",4
"umls:C0011633","umls:C0011633","Dermatomyositis","5/41","111/17381",6.05331147853113e-06,0.000142373885975052,5.73471613755581e-05,"3456/3552/23586/3569/11274",5
"umls:C0027059","umls:C0027059","Myocarditis","5/41","111/17381",6.05331147853113e-06,0.000142373885975052,5.73471613755581e-05,"3456/3627/3569/29126/3576",5
"umls:C0030807","umls:C0030807","Pemphigus","4/41","51/17381",6.14510095574306e-06,0.000142631027446457,5.74507360820854e-05,"3552/3569/3576/10673",4
"umls:C0026691","umls:C0026691","Mucocutaneous Lymph Node Syndrome","6/41","197/17381",6.34861737621077e-06,0.000145441052618647,5.85825936970919e-05,"5806/3552/7128/3569/3576/10673",6
"umls:C0035126","umls:C0035126","Reperfusion Injury","7/41","305/17381",6.44561778744892e-06,0.000145770125346922,5.87151417885023e-05,"3552/3627/1958/3569/3725/3576/467",7
"umls:C0005426","umls:C0005426","Biliary Tract Neoplasm","4/41","52/17381",6.64586565492372e-06,0.000146503154069523,5.90104004039432e-05,"3552/3569/1956/3576",4
"umls:C0033839","umls:C0033839","Pseudorabies","3/41","16/17381",6.67857685331147e-06,0.000146503154069523,5.90104004039432e-05,"3456/3552/3569",3
"umls:C0024131","umls:C0024131","Lupus Vulgaris","7/41","307/17381",6.72718564604952e-06,0.000146503154069523,5.90104004039432e-05,"3552/1959/3569/29126/1956/3576/10673",7
"umls:C3665444","umls:C3665444","Neutrophilia (disorder)","4/41","53/17381",7.17615474831332e-06,0.000154374841171033,6.21810584738317e-05,"3552/3627/3569/3576",4
"umls:C1519670","umls:C1519670","Tumor Angiogenesis","8/41","443/17381",7.63210411075634e-06,0.000160928077825825,6.48206543337103e-05,"5806/3456/3552/3627/3569/3725/1956/3576",8
"umls:C0023283","umls:C0023283","Leishmaniasis, Cutaneous","4/41","54/17381",7.737060936946e-06,0.000160928077825825,6.48206543337103e-05,"3552/3627/3569/3576",4
"umls:C0017658","umls:C0017658","Glomerulonephritis","6/41","204/17381",7.75447087029201e-06,0.000160928077825825,6.48206543337103e-05,"3552/3627/23586/3569/3725/3576",6
"umls:C0023267","umls:C0023267","Fibroid Tumor","7/41","315/17381",7.95809694766899e-06,0.000163233523438234,6.57492709874733e-05,"1959/1958/3569/3624/1956/3576/467",7
"umls:C0024138","umls:C0024138","Lupus Erythematosus, Discoid","7/41","316/17381",8.12434647689116e-06,0.000164728128565931,6.63512870163524e-05,"3552/1959/3569/29126/1956/3576/10673",7
"umls:C0677607","umls:C0677607","Hashimoto Disease","5/41","121/17381",9.22829260560911e-06,0.000184985319957892,7.45107357510305e-05,"3552/4792/3627/1958/3569",5
"umls:C0241910","umls:C0241910","Hepatitis, Autoimmune","5/41","123/17381",9.99580495190947e-06,0.00019811910039515,7.98009265823642e-05,"3552/3627/3569/29126/10673",5
"umls:C0239946","umls:C0239946","Fibrosis, Liver","7/41","327/17381",1.01520318532456e-05,0.000198979824323614,8.01476198940444e-05,"6373/4792/3627/1958/3569/1956/3576",7
"umls:C0024143","umls:C0024143","Lupus Nephritis","6/41","217/17381",1.10330330171869e-05,0.000212410455911622,8.55573802007069e-05,"3627/7128/23586/3569/3576/1843",6
"umls:C0003130","umls:C0003130","Anoxia","7/41","332/17381",1.12037371874557e-05,0.000212410455911622,8.55573802007069e-05,"1958/7128/3569/3725/3624/3576/1843",7
"umls:C0041327","umls:C0041327","Tuberculosis, Pulmonary","6/41","218/17381",1.13256478310907e-05,0.000212410455911622,8.55573802007069e-05,"5806/3552/3627/3569/1956/3576",6
"umls:C0020672","umls:C0020672","Hypothermia, natural","3/41","19/17381",1.14996097838197e-05,0.000212410455911622,8.55573802007069e-05,"3627/3569/6364",3
"umls:C0162823","umls:C0162823","Dermatitis, Irritant","3/41","19/17381",1.14996097838197e-05,0.000212410455911622,8.55573802007069e-05,"3552/3627/3576",3
"umls:C0023493","umls:C0023493","Adult T-Cell Lymphoma/Leukemia","8/41","469/17381",1.15612827594768e-05,0.000212410455911622,8.55573802007069e-05,"3552/1958/3569/3725/29126/6364/3576/467",8
"umls:C0014038","umls:C0014038","Encephalitis","5/41","127/17381",1.16801667933261e-05,0.000212410455911622,8.55573802007069e-05,"5806/4792/3627/3569/3576",5
"umls:C0751356","umls:C0751356","Idiopathic Inflammatory Myopathies","4/41","62/17381",1.34630065931035e-05,0.000239886299295298,9.66244492328001e-05,"3552/3627/7128/10673",4
"umls:C0948192","umls:C0948192","Primary infection NOS","4/41","62/17381",1.34630065931035e-05,0.000239886299295298,9.66244492328001e-05,"3620/23586/3569/3576",4
"umls:C0026857","umls:C0026857","Musculoskeletal Diseases","5/41","132/17381",1.4088821837509e-05,0.000248526817213659,0.000100104786740196,"3310/3552/4792/3569/3576",5
"umls:C0038443","umls:C0038443","Stress, Psychological","4/41","63/17381",1.43512996071243e-05,0.000250650420861063,0.000100960158778624,"3552/4792/3620/3569",4
"umls:C0032964","umls:C0032964","Pregnancy Complications, Hematologic","5/41","133/17381",1.46138971281221e-05,0.000252734456215758,0.000101799592997754,"3310/3552/4792/3569/3576",5
"umls:C0018213","umls:C0018213","Graves Disease","7/41","355/17381",1.72803151055652e-05,0.000295946367439,0.000119205035219791,"3552/3627/7128/3569/29126/6364/3576",7
"umls:C0276340","umls:C0276340","Respiratory syncytial virus bronchiolitis","3/41","22/17381",1.81862805636269e-05,0.000308467297252287,0.000124248374296034,"4792/3569/3576",3
"umls:C0026470","umls:C0026470","Monoclonal Gammopathy of Undetermined Significance","5/41","141/17381",1.93863205607502e-05,0.000325690185420603,0.0001311856278547,"3552/3569/3725/6364/10673",5
"umls:C0035222","umls:C0035222","Respiratory Distress Syndrome, Adult","5/41","142/17381",2.00591667166253e-05,0.000333814812152141,0.0001344581681601,"3552/4792/3627/3569/3576",5
"umls:C0015695","umls:C0015695","Fatty Liver","7/41","365/17381",2.06640333204204e-05,0.000340666867076837,0.000137218125836535,"3552/3627/1958/3569/11274/1956/3576",7
"umls:C0275524","umls:C0275524","Coinfection","5/41","144/17381",2.14593706480459e-05,0.000350503053918083,0.000141180070052934,"6373/3552/3627/3569/3576",5
"umls:C0009443","umls:C0009443","Common Cold","3/41","24/17381",2.38237321294093e-05,0.000378604175461963,0.000152498996560941,"3627/3569/1956",3
"umls:C0276653","umls:C0276653","Invasive Pulmonary Aspergillosis","3/41","24/17381",2.38237321294093e-05,0.000378604175461963,0.000152498996560941,"5806/3552/3569",3
"umls:C0343751","umls:C0343751","Asymptomatic human immunodeficiency virus infection","3/41","24/17381",2.38237321294093e-05,0.000378604175461963,0.000152498996560941,"4792/3627/1956",3
"umls:C0016057","umls:C0016057","Fibrosarcoma","6/41","251/17381",2.51490295570997e-05,0.00039609721552432,0.000159545065329345,"6373/3552/1958/3569/3725/3576",6
"umls:C0079773","umls:C0079773","Lymphoma, T-Cell, Cutaneous","6/41","254/17381",2.68864807602276e-05,0.000417309601415751,0.000168089259431694,"3627/7128/3569/3725/6364/3576",6
"umls:C0015929","umls:C0015929","Fetal Diseases","5/41","151/17381",2.69689878465962e-05,0.000417309601415751,0.000168089259431694,"3310/3552/4792/3569/3576",5
"umls:C0080032","umls:C0080032","Pleural Effusion, Malignant","4/41","75/17381",2.86916380766613e-05,0.000436310772131297,0.000175742792211854,"6373/3569/1956/3576",4
"umls:C0432306","umls:C0432306","Ichthyosis Bullosa of Siemens","4/41","75/17381",2.86916380766613e-05,0.000436310772131297,0.000175742792211854,"3552/1958/3569/3576",4
"umls:C0879615","umls:C0879615","Stromal Neoplasm","4/41","76/17381",3.02341192729919e-05,0.000455837490577416,0.000183608011779303,"3569/1956/3576/467",4
"umls:C0007570","umls:C0007570","Celiac Disease","7/41","390/17381",3.15849195020846e-05,0.000472167779675231,0.000190185732951892,"5806/3552/7128/3569/1956/3576/5966",7
"umls:C0152031","umls:C0152031","Joint swelling","3/41","27/17381",3.4260183973159e-05,0.000507856844778592,0.000204561027703515,"5806/3569/6364",3
"umls:C0022104","umls:C0022104","Irritable Bowel Syndrome","5/41","159/17381",3.45493085168481e-05,0.000507874835197667,0.000204568274112916,"3552/4792/1958/3569/3576",5
"umls:C0019159","umls:C0019159","Hepatitis A","6/41","268/17381",3.63211578352252e-05,0.000525168216568339,0.000211533921818611,"3456/3552/3627/282618/3569/3576",6
"umls:C0038013","umls:C0038013","Ankylosing spondylitis","6/41","268/17381",3.63211578352252e-05,0.000525168216568339,0.000211533921818611,"3552/4792/7128/282618/3569/29126",6
"umls:C0029882","umls:C0029882","Otitis Media","4/41","80/17381",3.70180906375791e-05,0.000527940031723069,0.00021265038871767,"3552/3569/3576/1843",4
"umls:C0009663","umls:C0009663","Condylomata Acuminata","3/41","28/17381",3.83085737304721e-05,0.000527940031723069,0.00021265038871767,"3456/3569/3725",3
"umls:C0013404","umls:C0013404","Dyspnea","3/41","28/17381",3.83085737304721e-05,0.000527940031723069,0.00021265038871767,"1959/3569/1956",3
"umls:C0014061","umls:C0014061","Tick-Borne Encephalitis","3/41","28/17381",3.83085737304721e-05,0.000527940031723069,0.00021265038871767,"3456/8638/4939",3
"umls:C0349530","umls:C0349530","Early gastric cancer","3/41","28/17381",3.83085737304721e-05,0.000527940031723069,0.00021265038871767,"3569/1956/3576",3
"umls:C0375071","umls:C0375071","Malignant neoplasm of vulva","3/41","28/17381",3.83085737304721e-05,0.000527940031723069,0.00021265038871767,"3552/3569/1956",3
"umls:C0043144","umls:C0043144","Wheezing","4/41","81/17381",3.88749001832711e-05,0.000527994187363724,0.000212672202214175,"4792/3627/3569/3576",4
"umls:C0971858","umls:C0971858","Arthritis, Collagen-Induced","5/41","163/17381",3.89111362569638e-05,0.000527994187363724,0.000212672202214175,"3552/3620/3569/1956/10673",5
"umls:C0013595","umls:C0013595","Eczema","7/41","406/17381",4.07973265960587e-05,0.000545200637238239,0.000219602834548163,"3552/3627/3569/3725/6364/1956/3576",7
"umls:C0041696","umls:C0041696","Unipolar Depression","7/41","406/17381",4.07973265960587e-05,0.000545200637238239,0.000219602834548163,"3552/3627/1958/3569/3725/1956/1843",7
"umls:C0520575","umls:C0520575","Acute pyelonephritis","3/41","29/17381",4.26588308842796e-05,0.000555036093565127,0.000223564484518714,"5806/3569/3576",3
"umls:C0008149","umls:C0008149","Chlamydia Infections","4/41","83/17381",4.27918983701005e-05,0.000555036093565127,0.000223564484518714,"3456/3552/3569/3576",4
"umls:C0243038","umls:C0243038","Carcinoma, Lewis Lung","4/41","83/17381",4.27918983701005e-05,0.000555036093565127,0.000223564484518714,"3569/6364/1956/3576",4
"umls:C0920646","umls:C0920646","Renal ischaemia","4/41","83/17381",4.27918983701005e-05,0.000555036093565127,0.000223564484518714,"3552/3569/3576/467",4
"umls:C0030354","umls:C0030354","Papilloma","5/41","168/17381",4.49509531297343e-05,0.000578784535188695,0.000233130183346682,"3456/3552/29126/6364/1956",5
"umls:C0004030","umls:C0004030","Aspergillosis","3/41","30/17381",4.73210967741539e-05,0.000600535357623075,0.000241891255755804,"5806/3552/3627",3
"umls:C1851585","umls:C1851585","MYELOPROLIFERATIVE DISORDER, CHRONIC, WITH EOSINOPHILIA","3/41","30/17381",4.73210967741539e-05,0.000600535357623075,0.000241891255755804,"6364/1956/3576",3
"umls:C1561643","umls:C1561643","Chronic Kidney Diseases","6/41","284/17381",5.0188221083162e-05,0.000632371585647841,0.000254714655873191,"5806/3552/3569/1956/3576/467",6
"umls:C0042029","umls:C0042029","Urinary tract infection","4/41","88/17381",5.38417645814365e-05,0.000668851216349676,0.000269408384673608,"5806/3552/3569/3576",4
"umls:C0520459","umls:C0520459","Necrotizing Enterocolitis","4/41","88/17381",5.38417645814365e-05,0.000668851216349676,0.000269408384673608,"3552/3569/1956/3576",4
"umls:C0002965","umls:C0002965","Angina, Unstable","4/41","89/17381",5.62796645818356e-05,0.000694247051205301,0.00027963764146293,"5806/3552/3569/3576",4
"umls:C0034040","umls:C0034040","Puerperal Disorders","3/41","32/17381",5.76218647575221e-05,0.000700999789188062,0.000282357595000562,"3552/3569/3576",3
"umls:C0752087","umls:C0752087","Myasthenia Gravis, Autoimmune, Experimental","3/41","32/17381",5.76218647575221e-05,0.000700999789188062,0.000282357595000562,"3627/3569/10673",3
"umls:C0031106","umls:C0031106","Periodontitis, Juvenile","4/41","90/17381",5.87972092194372e-05,0.00071039915796635,0.000286143592091709,"3552/282618/3569/3576",4
"umls:C0011311","umls:C0011311","Dengue Fever","5/41","179/17381",6.07886210624979e-05,0.000729463452749975,0.000293822550785435,"3627/23586/3569/4939/3576",5
"umls:C0011334","umls:C0011334","Dental caries","4/41","91/17381",6.13959928308341e-05,0.000731773860497238,0.000294753166150875,"3627/3569/3624/3576",4
"umls:C0007930","umls:C0007930","Chagas Cardiomyopathy","3/41","33/17381",6.32802950957084e-05,0.000739247950654501,0.000297763675075658,"3552/3627/3569",3
"umls:C0023646","umls:C0023646","Lichen Planus","3/41","33/17381",6.32802950957084e-05,0.000739247950654501,0.000297763675075658,"3456/3620/3569",3
"umls:C1334811","umls:C1334811","Mucinous Neoplasm","3/41","33/17381",6.32802950957084e-05,0.000739247950654501,0.000297763675075658,"3552/3569/1956",3
"umls:C0035235","umls:C0035235","Respiratory Syncytial Virus Infections","6/41","299/17381",6.67711013378671e-05,0.000774896202368405,0.000312122530492107,"3552/4792/23586/3569/3725/3576",6
"umls:C0020456","umls:C0020456","Hyperglycemia","7/41","441/17381",6.87918148953105e-05,0.000793129159969463,0.000319466632640761,"3552/3627/1958/3569/3725/3576/467",7
"umls:C0021345","umls:C0021345","Infectious Mononucleosis","3/41","34/17381",6.92905912757684e-05,0.000793184083644095,0.000319488755495742,"3552/3569/3576",3
"umls:C0393571","umls:C0393571","Multiple System Atrophy","4/41","94/17381",6.96958803655525e-05,0.000793184083644095,0.000319488755495742,"3552/4792/3569/3576",4
"umls:C0024534","umls:C0024534","Malaria, Cerebral","4/41","95/17381",7.2635774918103e-05,0.000821342993304703,0.000330830958635084,"3552/3620/3627/3569",4
