"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C3714757","umls:C3714757","Juvenile rheumatoid arthritis","12/113","186/17381",3.04783075838471e-09,2.01860175613018e-07,1.34622807991811e-07,"6373/3627/6352/5806/3569/3669/5698/6364/6772/3576/3659/7128",12
"umls:C0005411","umls:C0005411","Biliary Atresia","9/113","84/17381",3.68154140749035e-09,2.34800529766607e-07,1.56591098462845e-07,"3627/3569/6376/834/7098/6772/3576/90865/4599",9
"umls:C0019829","umls:C0019829","Hodgkin Disease","16/113","390/17381",4.63911123142072e-09,2.85305340732375e-07,1.90273321559399e-07,"3627/6352/10673/5806/29126/3569/7098/5698/4005/6364/8651/5371/3592/3965/3576/7128",16
"umls:C0751967","umls:C0751967","Multiple Sclerosis, Relapsing-Remitting","9/113","88/17381",5.59166380003687e-09,3.27343679136235e-07,2.18309159445952e-07,"3456/6352/3569/6376/834/3669/8651/6891/4940",9
"umls:C0026946","umls:C0026946","Mycoses","13/113","241/17381",5.70285155289608e-09,3.27343679136235e-07,2.18309159445952e-07,"3627/5806/3569/834/3669/7098/6364/6772/634/3576/1230/90865/2920",13
"umls:C0948192","umls:C0948192","Primary infection NOS","8/113","62/17381",6.27245857292323e-09,3.48424956857219e-07,2.32368499254983e-07,"3620/23586/3569/7098/3665/3576/140691/90865",8
"umls:C0014057","umls:C0014057","Japanese Encephalitis","7/113","42/17381",9.09804644631418e-09,4.89588624392282e-07,3.26512127398973e-07,"91543/23586/29126/3569/834/7098/27074",7
"umls:C0018213","umls:C0018213","Graves Disease","15/113","355/17381",9.88220252843431e-09,5.15671295574663e-07,3.43906952424939e-07,"3627/6352/29126/3569/64135/3669/5698/6890/6364/6891/6737/3592/3576/3659/7128",15
"umls:C0024115","umls:C0024115","Lung diseases","15/113","357/17381",1.06545553093452e-08,5.39621889490955e-07,3.59879871284694e-07,"3627/3456/6352/29126/3569/6376/3669/330/7098/6737/3576/1230/3659/90865/2920",15
"umls:C0011603","umls:C0011603","Dermatitis","11/113","168/17381",1.22960837532386e-08,6.04385981152386e-07,4.03071768101505e-07,"6373/29126/3569/64135/51554/3669/6737/3965/3576/972/90865",11
"umls:C0006274","umls:C0006274","Bronchiolitis, Viral","12/113","211/17381",1.26352469927328e-08,6.04385981152386e-07,4.03071768101505e-07,"3627/6352/3569/834/7098/6890/6772/6891/3592/3576/3659/2920",12
"umls:C0024143","umls:C0024143","Lupus Nephritis","12/113","217/17381",1.72794634762741e-08,8.02928099813141e-07,5.35481726814681e-07,"3627/6352/23586/3569/81030/4502/6772/25780/3576/1230/7128/4599",12
"umls:C0010823","umls:C0010823","Cytomegalovirus Infections","11/113","174/17381",1.77185062676535e-08,8.02928099813141e-07,5.35481726814681e-07,"3627/3456/91543/10673/3569/6376/7098/6772/5371/3576/6773",11
"umls:C0035369","umls:C0035369","Retroviridae Infections","8/113","71/17381",1.88041031005512e-08,8.30273475362799e-07,5.53718663500711e-07,"3627/3456/25939/3569/60489/3669/684/85363",8
"umls:C0014061","umls:C0014061","Tick-Borne Encephalitis","6/113","28/17381",2.21460286728334e-08,9.53386534365477e-07,6.35824139001611e-07,"3456/8638/4939/7098/4938/4940",6
"umls:C0019100","umls:C0019100","Severe Dengue","8/113","73/17381",2.35039636467015e-08,9.87166473161463e-07,6.58352357857544e-07,"23586/3569/64135/8743/7098/6890/8651/6891",8
"umls:C0026269","umls:C0026269","Mitral Valve Stenosis","12/113","224/17381",2.45947182148892e-08,1.00291481753015e-06,6.6885510478965e-07,"3456/6352/10673/29126/6376/11274/834/3669/8651/3592/3659/4599",12
"umls:C0004943","umls:C0004943","Behcet Syndrome","14/113","325/17381",2.50437497989525e-08,1.00291481753015e-06,6.6885510478965e-07,"3627/6352/10673/29126/3569/6890/6891/3592/3576/1230/3659/90865/7128/11074",14
"umls:C0027697","umls:C0027697","Nephritis","10/113","145/17381",3.56641376178706e-08,1.3957646585903e-06,9.30851056007101e-07,"3627/10673/3569/834/4502/7098/3965/3576/1230/7128",10
"umls:C3665444","umls:C3665444","Neutrophilia (disorder)","7/113","53/17381",4.90142949647871e-08,1.87561368731919e-06,1.25086773816568e-06,"3627/6352/3569/330/3576/83666/2920",7
"umls:C0020523","umls:C0020523","Immediate hypersensitivity","9/113","117/17381",6.91114464412963e-08,2.58717197330244e-06,1.72541391458706e-06,"6352/55876/6890/6772/3122/6891/3576/3659/90865",9
"umls:C0035126","umls:C0035126","Reperfusion Injury","13/113","305/17381",9.25343999191212e-08,3.39030290767504e-06,2.26103091403721e-06,"3627/6352/3569/6376/834/7098/6772/8651/3592/3576/3659/2920/6773",13
"umls:C0241910","umls:C0241910","Hepatitis, Autoimmune","9/113","123/17381",1.06609980189035e-07,3.82463303928161e-06,2.55069053478589e-06,"3627/6352/10673/29126/3569/3669/7098/3965/972",9
"umls:C1333064","umls:C1333064","Classical Hodgkin's Lymphoma","9/113","126/17381",1.31257495788716e-07,4.612763423432e-06,3.07630349958085e-06,"29126/3569/8743/4502/5698/3122/8651/5371/7128",9
"umls:C0041234","umls:C0041234","Chagas Disease","10/113","167/17381",1.35692768226237e-07,4.63361705792944e-06,3.09021102157896e-06,"6352/23586/3569/64135/834/3669/7098/6772/6737/140691",10
"umls:C0008312","umls:C0008312","Primary biliary cirrhosis","12/113","262/17381",1.3723256094913e-07,4.63361705792944e-06,3.09021102157896e-06,"3627/29126/3569/8743/3669/7098/6364/8651/5371/3592/3576/972",12
"umls:C0042164","umls:C0042164","Uveitis","9/113","127/17381",1.40508016841244e-07,4.65297701924273e-06,3.10312239623071e-06,"3627/282616/6352/3569/6376/5698/6772/8651/140691",9
"umls:C1175175","umls:C1175175","Severe Acute Respiratory Syndrome","8/113","92/17381",1.46941615199367e-07,4.7742162523266e-06,3.18397819627625e-06,"3627/3456/6352/3569/27074/4938/3576/4599",8
"umls:C0019158","umls:C0019158","Hepatitis","12/113","267/17381",1.68401989292006e-07,5.32505808052132e-06,3.55134077012578e-06,"3627/282618/3569/60489/8743/6364/8651/5371/634/3576/90865/2920",12
"umls:C0149678","umls:C0149678","Epstein-Barr Virus Infections","11/113","217/17381",1.70080252281459e-07,5.32505808052132e-06,3.55134077012578e-06,"3627/29126/3569/3669/5698/2633/6890/6364/3665/972/7128",11
"umls:C0276447","umls:C0276447","Rhinovirus infection","6/113","40/17381",2.1177136405898e-07,6.51196944481364e-06,4.34290522910427e-06,"3627/282618/282616/64135/7098/8651",6
"umls:C1636667","umls:C1636667","Disorder characterized by eosinophilia","9/113","141/17381",3.43861500642784e-07,1.03882369141557e-05,6.92803134259053e-06,"3627/282618/6352/3569/3669/3965/3665/3576/90865",9
"umls:C0032285","umls:C0032285","Pneumonia","14/113","403/17381",3.53449919350793e-07,1.04938062262425e-05,6.99843669712732e-06,"6352/29126/3569/6376/834/7098/6364/3965/3576/1230/140691/90865/83666/2920",14
"umls:C0038522","umls:C0038522","Subacute Sclerosing Panencephalitis","6/113","44/17381",3.81322214722767e-07,1.09412279991787e-05,7.29682727984841e-06,"29126/3569/64135/7098/3659/4599",6
"umls:C0013595","umls:C0013595","Eczema","14/113","406/17381",3.86491864920647e-07,1.09412279991787e-05,7.29682727984841e-06,"3627/6352/3569/6376/834/3669/6890/6364/8651/6891/3592/3576/90865/2920",14
"umls:C1306759","umls:C1306759","Eosinophilic disorder","9/113","143/17381",3.87581247357668e-07,1.09412279991787e-05,7.29682727984841e-06,"3627/282618/6352/3569/3669/3965/3665/3576/90865",9
"umls:C0011615","umls:C0011615","Dermatitis, Atopic","15/113","477/17381",4.65984329691328e-07,1.29423389633624e-05,8.63139055506348e-06,"3627/6352/3569/6376/834/3669/5698/6890/6364/8651/6891/3592/3576/90865/2920",15
"umls:C0014457","umls:C0014457","Eosinophilia","9/113","149/17381",5.48947258084853e-07,1.50045583876526e-05,1.00067077455401e-05,"3627/282618/6352/3569/3669/3965/3665/3576/90865",9
"umls:C0004623","umls:C0004623","Bacterial Infections","11/113","247/17381",6.20230767138174e-07,1.66880840783115e-05,1.11294698511143e-05,"3456/6352/5806/3569/834/84166/7098/6772/634/3576/83666",11
"umls:C0027121","umls:C0027121","Myositis","8/113","113/17381",7.21566200857465e-07,1.91159538134855e-05,1.27486433220323e-05,"3456/29126/64135/8743/7098/6737/3576/972",8
"umls:C0151857","umls:C0151857","Pleocytosis","4/113","12/17381",8.05377612387344e-07,2.10130340686516e-05,1.40138273542997e-05,"3627/6352/3569/3576",4
"umls:C0035690","umls:C0035690","RNA Virus Infections","5/113","28/17381",9.26756522217895e-07,2.38190258396898e-05,1.58851746384874e-05,"3456/23586/64135/6737/3665",5
"umls:C0022408","umls:C0022408","Arthropathy","8/113","118/17381",1.00415232830136e-06,2.54286810196316e-05,1.69586716745633e-05,"282618/6352/3569/51554/3669/5698/6737/3576",8
"umls:C0520575","umls:C0520575","Acute pyelonephritis","5/113","29/17381",1.1140441185171e-06,2.78026662621224e-05,1.85419089748613e-05,"6352/5806/3569/3576/2920",5
"umls:C0002390","umls:C0002390","Extrinsic allergic alveolitis","5/113","30/17381",1.32994552932144e-06,3.27166600213074e-05,2.18191063532284e-05,"3569/5698/6890/3592/3965",5
"umls:C0038013","umls:C0038013","Ankylosing spondylitis","11/113","268/17381",1.38293754288897e-06,3.3541104913448e-05,2.23689378694124e-05,"282618/29126/3569/8743/5698/6890/8651/6891/3113/90865/7128",11
"umls:C0014038","umls:C0014038","Encephalitis","8/113","127/17381",1.75300080423303e-06,4.192593590124e-05,2.79608754008514e-05,"3627/5806/3569/6376/834/7098/3576/140691",8
"umls:C0027430","umls:C0027430","Nasal Polyps","10/113","223/17381",1.9377867413177e-06,4.57105310760148e-05,3.04848642361588e-05,"3620/3456/6352/10673/3569/7098/6364/3576/90865/7128",10
"umls:C0035112","umls:C0035112","Reoviridae Infections","4/113","15/17381",2.18767181440659e-06,5.09077143838938e-05,3.39509238907196e-05,"3456/23586/8743/6772",4
"umls:C0037274","umls:C0037274","Dermatologic disorders","14/113","479/17381",2.73273718585254e-06,6.27436457871743e-05,4.18444388738964e-05,"6373/3627/10673/5806/23586/3569/51554/7098/6364/8651/6737/3576/90865/2920",14
"umls:C0014378","umls:C0014378","Enterovirus Infections","5/113","35/17381",2.95220599457707e-06,6.67360158015719e-05,4.4506995072752e-05,"3627/64135/3122/8651/3576",5
"umls:C0024314","umls:C0024314","Lymphoproliferative Disorders","10/113","234/17381",2.98413078787517e-06,6.67360158015719e-05,4.4506995072752e-05,"6352/10673/29126/3569/8743/51554/3669/4005/83666/7128",10
"umls:C0032463","umls:C0032463","Polycythemia Vera","9/113","186/17381",3.47832855759546e-06,7.6288260643564e-05,5.08774939556992e-05,"5806/3569/64135/8743/7098/6772/8651/3576/140691",9
"umls:C0034069","umls:C0034069","Pulmonary Fibrosis","12/113","356/17381",3.49986793893238e-06,7.6288260643564e-05,5.08774939556992e-05,"6352/5806/3569/834/3669/7098/6772/8651/3592/3576/83666/2920",12
"umls:C0040147","umls:C0040147","Thyroiditis","7/113","99/17381",3.70295221704228e-06,7.93020392134123e-05,5.28874165791508e-05,"3627/6352/3669/7098/43/6737/90865",7
"umls:C0812413","umls:C0812413","Malignant Pleural Mesothelioma","10/113","240/17381",3.73960150743765e-06,7.93020392134123e-05,5.28874165791508e-05,"3456/29126/3569/8743/3669/330/6772/8651/3576/972",10
"umls:C0030389","umls:C0030389","Parainfluenza","4/113","17/17381",3.77628758159106e-06,7.93020392134123e-05,5.28874165791508e-05,"3569/64135/6772/3576",4
"umls:C0017563","umls:C0017563","Gingival Diseases","7/113","101/17381",4.23278316301146e-06,8.6772054841735e-05,5.78692535193673e-05,"3627/3569/3669/6772/3965/3576/3659",7
"umls:C0023524","umls:C0023524","Leukoencephalopathy, Progressive Multifocal","7/113","101/17381",4.23278316301146e-06,8.6772054841735e-05,5.78692535193673e-05,"3627/3456/8743/6772/8651/5371/140691",7
"umls:C0032914","umls:C0032914","Pre-Eclampsia","12/113","364/17381",4.39411118718837e-06,8.90195231098633e-05,5.93681152349538e-05,"3627/3620/6352/10673/5806/3569/7098/6890/6891/3592/3113/3576",12
"umls:C0003872","umls:C0003872","Arthritis, Psoriatic","9/113","193/17381",4.70447907060971e-06,9.41989879022083e-05,6.2822358213405e-05,"6352/3569/64135/3669/5698/3592/3576/90865/7128",9
"umls:C0039103","umls:C0039103","Synovitis","7/113","104/17381",5.14495948202856e-06,0.000101834715264979,6.79147101620468e-05,"6352/10673/3569/6364/6772/3576/7128",7
"umls:C0026691","umls:C0026691","Mucocutaneous Lymph Node Syndrome","9/113","197/17381",5.5592283364431e-06,0.000108783990856307,7.25492597495146e-05,"6352/10673/5806/3569/3669/6772/6891/3576/7128",9
"umls:C0020672","umls:C0020672","Hypothermia, natural","4/113","19/17381",6.08852236108764e-06,0.000117802646132505,7.85639017852941e-05,"3627/3569/6364/3592",4
"umls:C0079773","umls:C0079773","Lymphoma, T-Cell, Cutaneous","10/113","254/17381",6.17699317728496e-06,0.000118186469458719,7.88198778528409e-05,"3627/3569/8743/834/51554/3669/6364/6772/3576/7128",10
"umls:C0155877","umls:C0155877","Allergic asthma","9/113","200/17381",6.28471646042196e-06,0.000118926173020293,7.93131944282286e-05,"282618/6352/3569/3669/6890/3576/1230/3659/90865",9
"umls:C0206708","umls:C0206708","Cervical Intraepithelial Neoplasia","9/113","211/17381",9.68236263434674e-06,0.000181228570177664,0.000120863359657578,"3620/29126/129607/3569/6890/6891/3965/90865/6495",9
"umls:C0019159","umls:C0019159","Hepatitis A","10/113","268/17381",9.88620680894948e-06,0.000183054280914097,0.000122080946559863,"3627/282618/3456/3569/8743/8651/5371/3576/90865/2920",10
"umls:C0006309","umls:C0006309","Brucellosis","5/113","47/17381",1.310988407798e-05,0.000240161918960442,0.000160166668858636,"3456/3569/5698/6890/6891",5
"umls:C0340288","umls:C0340288","Stable angina","6/113","82/17381",1.54806375057194e-05,0.00028060692405104,0.000187139894944486,"3627/3569/6376/3669/6772/90865",6
"umls:C0950124","umls:C0950124","Papillomavirus Infections","5/113","49/17381",1.61296268566115e-05,0.000289325181740468,0.000192954198471087,"3569/5698/6890/6891/5371",5
"umls:C0278701","umls:C0278701","Gastric Adenocarcinoma","10/113","284/17381",1.63492715268657e-05,0.000290241706899617,0.000193565439346831,"29126/3569/8743/3669/6890/6891/5371/3576/3659/11074",10
"umls:C0206139","umls:C0206139","Lichen Planus, Oral","6/113","83/17381",1.65992763776791e-05,0.00029167299920779,0.000194519984189559,"3627/6352/3569/3122/634/3576",6
"umls:C0030807","umls:C0030807","Pemphigus","5/113","51/17381",1.96654737802575e-05,0.000342060059086903,0.00022812367776992,"10673/3569/6891/3592/3576",5
"umls:C0014869","umls:C0014869","Peptic Esophagitis","5/113","52/17381",2.16453890141408e-05,0.000372733598823504,0.000248580204362396,"6352/3569/5698/3576/90865",5
"umls:C0031090","umls:C0031090","Periodontal Diseases","7/113","130/17381",2.2274037612168e-05,0.000379761314536172,0.000253267066543776,"3627/3569/3669/6772/3965/3576/3659",7
"umls:C2745900","umls:C2745900","Promyelocytic leukemia","9/113","238/17381",2.52363692867261e-05,0.000426049293252377,0.000284137037067268,"3627/10673/8743/5366/6772/8651/5371/3576/140691",9
"umls:C0206062","umls:C0206062","Lung Diseases, Interstitial","7/113","133/17381",2.58139546344432e-05,0.000431569222140885,0.000287818339357972,"6352/3569/64135/3592/90865/83666/7128",7
"umls:C0152031","umls:C0152031","Joint swelling","4/113","27/17381",2.64837813603316e-05,0.000438510302908567,0.000292447423725929,"6352/5806/3569/6364",4
"umls:C0018572","umls:C0018572","Hand, Foot and Mouth Disease","3/113","10/17381",3.10596488500409e-05,0.00050937824114067,0.000339710044064106,"3569/4938/3576",3
"umls:C0019189","umls:C0019189","Hepatitis, Chronic","8/113","189/17381",3.25800614570225e-05,0.000529272319141442,0.000352977627106371,"3627/3456/3569/60489/8743/6890/6772/6891",8
"umls:C0024198","umls:C0024198","Lyme Disease","7/113","139/17381",3.42909409628506e-05,0.000551859816243259,0.0003680414814606,"6373/282618/3456/3569/3592/3665/3576",7
"umls:C0242583","umls:C0242583","Bare Lymphocyte Syndrome","4/113","29/17381",3.54839641210571e-05,0.000560581524921655,0.000373858086490327,"6890/3122/6891/3113",4
"umls:C2931418","umls:C2931418","Bare lymphocyte syndrome 2","4/113","29/17381",3.54839641210571e-05,0.000560581524921655,0.000373858086490327,"6890/3122/6891/3113",4
"umls:C0000786","umls:C0000786","Spontaneous abortion","9/113","249/17381",3.59622924015283e-05,0.00056297334104938,0.000375453215407344,"3627/3569/8743/51554/3122/6891/3430/10561/634",9
"umls:C0024301","umls:C0024301","Lymphoma, Follicular","11/113","380/17381",3.73675926631994e-05,0.000579702653748013,0.000386610181086302,"6352/10673/3669/4005/5366/6772/8651/3592/3576/1230/7128",11
"umls:C0004030","umls:C0004030","Aspergillosis","4/113","30/17381",4.07384285197857e-05,0.000620810388593548,0.000414025389055297,"3627/5806/7098/140691",4
"umls:C0008055","umls:C0008055","Chikungunya Fever","4/113","30/17381",4.07384285197857e-05,0.000620810388593548,0.000414025389055297,"23586/7098/27074/684",4
"umls:C0018133","umls:C0018133","Graft-vs-Host Disease","10/113","317/17381",4.17586229896088e-05,0.000630774989369353,0.000420670892720805,"6352/10673/3569/8743/3669/6772/3592/3659/90865/3431",10
"umls:C0085311","umls:C0085311","Diffuse cutaneous leishmaniasis","3/113","11/17381",4.25046584630654e-05,0.000630974326494816,0.000420803832878442,"6352/3569/3576",3
"umls:C0235527","umls:C0235527","Heart Failure, Right-Sided","3/113","11/17381",4.25046584630654e-05,0.000630974326494816,0.000420803832878442,"23586/27074/140691",3
"umls:C0014072","umls:C0014072","Experimental Autoimmune Encephalomyelitis","11/113","389/17381",4.61998793211754e-05,0.000679967454624478,0.000453477897790394,"3627/3456/6352/10673/29126/3569/6376/8743/3669/1230/972",11
"umls:C0006272","umls:C0006272","Bronchiolitis Obliterans","5/113","61/17381",4.72967220799627e-05,0.000685947487178432,0.000457466048359722,"3627/6352/3569/7098/3576",5
"umls:C0206180","umls:C0206180","Ki-1+ Anaplastic Large Cell Lymphoma","9/113","258/17381",4.74028751302169e-05,0.000685947487178432,0.000457466048359722,"29126/57674/3569/51554/3669/330/6772/8651/3576",9
"umls:C0751356","umls:C0751356","Idiopathic Inflammatory Myopathies","5/113","62/17381",5.11806553958165e-05,0.000734442404929967,0.000489807851200314,"3627/10673/64135/6737/7128",5
"umls:C0752087","umls:C0752087","Myasthenia Gravis, Autoimmune, Experimental","4/113","32/17381",5.2922911549944e-05,0.000753167385859534,0.000502295750334832,"3627/10673/3569/43",4
"umls:C0239946","umls:C0239946","Fibrosis, Liver","10/113","327/17381",5.42099780346924e-05,0.000760110347096934,0.000506926088809068,"6373/3627/6352/3569/8743/3669/8651/4938/3576/90865",10
"umls:C0023493","umls:C0023493","Adult T-Cell Lymphoma/Leukemia","12/113","469/17381",5.42935962212096e-05,0.000760110347096934,0.000506926088809068,"29126/3569/8743/51554/3669/4005/6364/6772/8651/3965/3576/4940",12
"umls:C0017658","umls:C0017658","Glomerulonephritis","8/113","204/17381",5.60033574077311e-05,0.000773529408716662,0.000515875411033607,"3627/6352/23586/3569/6376/7098/6772/3576",8
"umls:C1319860","umls:C1319860","Sendai virus infection","3/113","12/17381",5.64044187466246e-05,0.000773529408716662,0.000515875411033607,"3456/23586/64135",3
"umls:C0032227","umls:C0032227","Pleural effusion disorder","6/113","103/17381",5.65997128329265e-05,0.000773529408716662,0.000515875411033607,"3456/3569/3669/6737/3592/3576",6
"umls:C0035455","umls:C0035455","Rhinitis","6/113","104/17381",5.97500038544102e-05,0.000806135776480601,0.000537620962247286,"6352/6376/3669/6890/6891/7128",6
"umls:C0023646","umls:C0023646","Lichen Planus","4/113","33/17381",5.9921823106572e-05,0.000806135776480601,0.000537620962247286,"3620/3456/3569/3665",4
"umls:C0031099","umls:C0031099","Periodontitis","9/113","270/17381",6.73240953842653e-05,0.0008986983895481,0.000599352003788115,"282618/3456/10673/3569/3669/6364/3592/3576/2920",9
"umls:C0032533","umls:C0032533","Polymyalgia Rheumatica","4/113","35/17381",7.59103237223106e-05,0.00100551982653707,0.000670592414421384,"6352/3569/3669/4599",4
"umls:C1535939","umls:C1535939","Pneumocystis jiroveci pneumonia","5/113","69/17381",8.57345628356396e-05,0.00112698410078604,0.000751598296935981,"3627/3569/8651/3576/83666",5
"umls:C0037284","umls:C0037284","Skin lesion","5/113","70/17381",9.185453360374e-05,0.00119828414292152,0.000799149092198408,"3569/8651/6737/634/90865",5
"umls:C0178468","umls:C0178468","Autoimmune thyroid disease","6/113","114/17381",9.96386886020163e-05,0.00129005881032084,0.000860354643963591,"3627/6352/3569/3669/3113/7128",6
"umls:C0023487","umls:C0023487","Acute Promyelocytic Leukemia","11/113","428/17381",0.000108410362222418,0.00139315405781346,0.000929110017161494,"6352/10673/3569/8743/5366/6772/5371/3576/3659/9246/6773",11
"umls:C0993582","umls:C0993582","Arthritis, Experimental","7/113","167/17381",0.000109577207185419,0.00139771815387624,0.000932153863854134,"6352/3569/6376/7098/6772/1230/90865",7
"umls:C0400914","umls:C0400914","Acute hepatitis C","3/113","15/17381",0.000115005563690354,0.00145617338731463,0.000971138312586502,"3627/282618/11274",3
"umls:C0149521","umls:C0149521","Pancreatitis, Chronic","9/113","292/17381",0.000122271784979509,0.00151800071579195,0.00101237164920168,"3627/3569/6376/8743/3669/6364/634/3576/90865",9
"umls:C2607914","umls:C2607914","Allergic rhinitis (disorder)","7/113","170/17381",0.000122436329923007,0.00151800071579195,0.00101237164920168,"6352/3569/834/3669/6890/3576/90865",7
